sample_id,spp,mountain,site,treatment,experiment,source,none_live,em_tip_live,none_dead,em_tip_dead,em_colonization,vitality_index
MAN_FAGR_DL3,FAGR,MAN,L,DL3,net,D,31,19,2,1,37.74,94.34
MAN_FAGR_CL3,FAGR,MAN,L,CL3,net,C,47,35,3,1,41.86,95.35
MAN_FAGR_NL4,FAGR,MAN,L,NL4,net,N,64,54,4,4,46.03,93.65
MAN_FAGR_DM3,FAGR,MAN,M,DM3,net,D,107,106,6,9,50.44,93.42
JAY_FAGR_DM4,FAGR,JAY,M,DM4,net,D,52,26,4,5,35.63,89.66
JAY_FAGR_DL4,FAGR,JAY,L,DL4,net,D,52,27,2,3,35.71,94.05
JAY_FAGR_DM1,FAGR,JAY,M,DM1,net,D,78,33,4,8,33.33,90.24
JAY_FAGR_NM4,FAGR,JAY,M,NM4,net,N,56,43,3,2,43.27,95.19
JAY_FAGR_NM3,FAGR,JAY,M,NM3,net,N,57,42,5,6,43.64,90
ABE_FAGR_CM3,FAGR,ABE,M,CM3,net,C,36,15,5,4,31.67,85
ABE_FAGR_DM3,FAGR,ABE,M,DM3,net,D,70,45,5,3,39.02,93.5
ABE_FAGR_DM2,FAGR,ABE,M,DM2,net,D,39,13,2,2,26.79,92.86
ABE_FAGR_CH4-2,FAGR,ABE,H,CH4-2,net,C,115,109,10,13,49.39,90.69
ABE_FAGR_NL3,FAGR,ABE,L,NL3,net,N,60,44,4,5,43.36,92.04
ABE_FAGR_DH2,FAGR,ABE,H,DH2,net,D,155,127,10,8,45,94
ABE_FAGR_CL4,FAGR,ABE,L,CL4,net,C,106,106,5,5,50,95.5
ABE_FAGR_NL2,FAGR,ABE,L,NL2,net,N,120,83,4,6,41.78,95.31
ABE_FAGR_NM3,FAGR,ABE,M,NM3,net,N,77,82,3,3,51.52,96.36
ABE_FAGR_DM4,FAGR,ABE,M,DM4,net,D,47,26,3,5,38.27,90.12
ABE_FAGR_NH4,FAGR,ABE,H,NH4,net,N,101,79,8,8,44.39,91.84
ABE_FAGR_CH3,FAGR,ABE,H,CH3,net,C,117,87,7,6,42.86,94.01
