spp,treatment,treat,source,block,end_biomass,final_height,survived
ACSA,PC-L,PC,L,2,,,0
ACSA,PC-L,PC,L,2,,,0
ACSA,PC-L,PC,L,2,,,0
ACSA,PC-L,PC,L,2,,,0
ACSA,PC-L,PC,L,3,,,0
ACSA,PC-L,PC,L,3,,,0
ACSA,PC-L,PC,L,3,,,0
ACSA,PC-L,PC,L,3,,,0
ACSA,PC-L,PC,L,3,,,0
ACSA,PC-L,PC,L,3,,,0
ACSA,BigPC-L,PC,L,1,,,0
ACSA,BigPC-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,1,,,0
ACSA,PC1-L,PC,L,2,,,0
ACSA,PC1-L,PC,L,2,,,0
ACSA,PC1-L,PC,L,2,,,0
ACSA,PC1-L,PC,L,2,,,0
ACSA,PC1-L,PC,L,3,,,0
ACSA,PC1-L,PC,L,3,,,0
ACSA,PC1-L,PC,L,3,,,0
ACSA,PC1-L,PC,L,3,,,0
ACSA,PC-M,PC,M,1,,,0
ACSA,PC-M,PC,M,1,,,0
ACSA,PC-M,PC,M,1,,,0
ACSA,PC-M,PC,M,1,,,0
ACSA,PC-M,PC,M,1,,,0
ACSA,PC-M,PC,M,1,,,0
ACSA,PC-M,PC,M,2,,,0
ACSA,PC-M,PC,M,2,,,0
ACSA,PC-M,PC,M,2,,,0
ACSA,PC-M,PC,M,3,,,0
ACSA,PC-M,PC,M,3,,,0
ACSA,PC-M,PC,M,3,,,0
ACSA,PC-M,PC,M,3,,,0
ACSA,PC-M,PC,M,3,,,0
ACSA,PC-M,PC,M,3,,,0
ACSA,BigPC-M,PC,M,1,,,0
ACSA,BigPC-M,PC,M,1,,,0
ACSA,BigPC-M,PC,M,1,,,0
ACSA,PC1-M,PC,M,1,,,0
ACSA,PC1-M,PC,M,1,,,0
ACSA,PC1-M,PC,M,1,,,0
ACSA,PC1-M,PC,M,2,,,0
ACSA,PC1-M,PC,M,3,,,0
ACSA,PC1-M,PC,M,3,,,0
ACSA,PC1-M,PC,M,3,,,0
ACSA,PC1-M,PC,M,3,,,0
ACSA,PC1-M,PC,M,3,,,0
ACSA,PC-H,PC,H,1,,,0
ACSA,PC-H,PC,H,1,,,0
ACSA,PC-H,PC,H,1,,,0
ACSA,PC-H,PC,H,1,,,0
ACSA,PC-H,PC,H,2,,,0
ACSA,PC-H,PC,H,2,,,0
ACSA,PC-H,PC,H,2,,,0
ACSA,PC-H,PC,H,3,,,0
ACSA,PC-H,PC,H,3,,,0
ACSA,PC-H,PC,H,3,,,0
ACSA,PC-H,PC,H,3,,,0
ACSA,PC-H,PC,H,3,,,0
ACSA,BigPC-H,PC,H,1,,,0
ACSA,PC1-H,PC,H,1,,,0
ACSA,PC1-H,PC,H,1,,,0
ACSA,PC1-H,PC,H,1,,,0
ACSA,PC1-H,PC,H,1,,,0
ACSA,PC1-H,PC,H,2,,,0
ACSA,PC1-H,PC,H,2,,,0
ACSA,PC1-H,PC,H,2,,,0
ACSA,PC1-H,PC,H,3,,,0
ACSA,PC1-H,PC,H,3,,,0
ACSA,PC1-H,PC,H,3,,,0
ACSA,PC1-H,PC,H,3,,,0
