sample_id,spp,mountain,site,treatment,block,experiment,treat,none,non_prop,arbuscules,arb_prop,vesicles,ves_prop,coils,coil_prop,hyphae,hyphae_prop,endo,endo_prop,total
KIL_ACSA_DH1,ACSA,KIL,H,DH1,1,net,D,171,0.7668,5,0.0224,8,0.0359,2,0.009,28,0.1256,9,0.0404,223
MAN_ACSA_NM3,ACSA,MAN,M,NM3,3,net,N,139,0.6233,4,0.0179,8,0.0359,3,0.0135,61,0.2735,8,0.0359,223
MAN_ACSA_DM3,ACSA,MAN,M,DM3,3,net,D,112,0.6292,4,0.0225,10,0.0562,1,0.0056,36,0.2022,6,0.0337,178
MAN_ACSA_CM4,ACSA,MAN,M,CM4,4,net,C,94,0.6395,2,0.0136,5,0.034,1,0.0068,34,0.2313,11,0.0748,147
MAN_ACSA_DM4,ACSA,MAN,M,DM4,4,net,D,131,0.6485,6,0.0297,9,0.0446,3,0.0149,43,0.2129,10,0.0495,202
MAN_ACSA_NL3,ACSA,MAN,L,NL3,3,net,N,81,0.5094,7,0.044,11,0.0692,1,0.0063,54,0.3396,5,0.0314,159
JAY_ACSA_NH4,ACSA,JAY,H,NH4,4,net,N,224,0.896,0,0,5,0.02,2,0.008,11,0.044,8,0.032,250
ABE_ACSA_HL2,ACSA,ABE,L,HL2,2,trans,H,78,0.5455,10,0.0699,14,0.0979,2,0.014,27,0.1888,12,0.0839,143
KIL_ACSA_LM2,ACSA,KIL,M,LM2,2,trans,L,75,0.5,12,0.08,16,0.1067,0,0,39,0.26,9,0.06,150
KIL_ACSA_HM2,ACSA,KIL,M,HM2,2,trans,H,59,0.472,9,0.072,14,0.112,1,0.008,34,0.272,8,0.064,125
KIL_ACSA_HL3,ACSA,KIL,L,HL3,3,trans,H,150,0.5119,31,0.1058,29,0.099,5,0.0171,68,0.2321,10,0.0341,293
KIL_ACSA_FCM3,ACSA,KIL,M,FCM3,3,trans,M,67,0.5076,10,0.0758,11,0.0833,2,0.0152,35,0.2652,7,0.053,132
KIL_ACSA_SCM1,ACSA,KIL,M,SCM1,1,trans,M,68,0.6126,6,0.0541,10,0.0901,0,0,22,0.1982,5,0.045,111
ABE_ACSA_SCM2,ACSA,ABE,M,SCM2,2,trans,M,68,0.4564,16,0.1074,16,0.1074,4,0.0268,39,0.2617,6,0.0403,149
ABE_ACSA_SCM3,ACSA,ABE,M,SCM3,3,trans,M,71,0.3568,18,0.0905,27,0.1357,5,0.0251,74,0.3719,5,0.0251,199
KIL_ACSA_SCM3,ACSA,KIL,M,SCM3,3,trans,M,84,0.5563,9,0.0596,7,0.0464,3,0.0199,45,0.298,3,0.0199,151
KIL_ACSA_HM3,ACSA,KIL,M,HM3,3,trans,H,94,0.5802,11,0.0679,13,0.0802,0,0,39,0.2407,5,0.0309,162
ABE_ACSA_SCL3,ACSA,ABE,L,SCL3,3,trans,L,105,0.3292,36,0.1129,39,0.1223,4,0.0125,118,0.3699,17,0.0533,319
ABE_ACSA_SCL1,ACSA,ABE,L,SCL1,1,trans,L,98,0.3843,30,0.1176,31,0.1216,7,0.0275,79,0.3098,10,0.0392,255
ABE_ACSA_FCL3,ACSA,ABE,L,FCL3,3,trans,L,48,0.2264,25,0.1179,36,0.1698,5,0.0236,84,0.3962,14,0.066,212
ABE_ACSA_FCL2,ACSA,ABE,L,FCL2,2,trans,L,59,0.3172,21,0.1129,25,0.1344,3,0.0161,70,0.3763,8,0.043,186
ABE_ACSA_ML1,ACSA,ABE,L,ML1,1,trans,M,60,0.3125,21,0.1094,23,0.1198,5,0.026,71,0.3698,12,0.0625,192
ABE_ACSA_HL3,ACSA,ABE,L,HL3,3,trans,H,93,0.4097,24,0.1057,26,0.1145,6,0.0264,71,0.3128,7,0.0308,227
ABE_ACSA_FCL1,ACSA,ABE,L,FCL1,1,trans,L,68,0.3022,22,0.0978,30,0.1333,7,0.0311,81,0.36,17,0.0756,225
ABE_ACSA_ML3,ACSA,ABE,L,ML3,3,trans,M,94,0.3253,26,0.09,40,0.1384,9,0.0311,108,0.3737,12,0.0415,289
ABE_ACSA_FCM1,ACSA,ABE,M,FCM1,1,trans,M,70,0.5932,7,0.0593,7,0.0593,0,0,29,0.2458,5,0.0424,118
ABE_ACSA_HM2,ACSA,ABE,M,HM2,2,trans,H,99,0.4853,16,0.0784,20,0.098,2,0.0098,54,0.2647,14,0.0686,204
ABE_ACSA_LM2,ACSA,ABE,M,LM2,2,trans,L,80,0.4061,15,0.0761,16,0.0812,5,0.0254,76,0.3858,9,0.0457,197
ABE_ACSA_SCH1,ACSA,ABE,H,SCH1,1,trans,H,159,0.6709,9,0.038,5,0.0211,1,0.0042,51,0.2152,12,0.0506,237
ABE_ACSA_MH2,ACSA,ABE,H,MH2,2,trans,M,146,0.7725,3,0.0159,6,0.0317,0,0,22,0.1164,13,0.0688,189
JAY_ACSA_SCH2,ACSA,JAY,H,SCH2,2,trans,H,78,0.5379,5,0.0345,7,0.0483,2,0.0138,34,0.2345,19,0.131,145
JAY_ACSA_SCH3,ACSA,JAY,H,SCH3,3,trans,H,77,0.4477,16,0.093,13,0.0756,3,0.0174,54,0.314,9,0.0523,172
JAY_ACSA_LH3,ACSA,JAY,H,LH3,3,trans,L,117,0.5545,15,0.0711,9,0.0427,2,0.0095,58,0.2749,10,0.0474,211
JAY_ACSA_SCL1,ACSA,JAY,L,SCL1,1,trans,L,51,0.4359,9,0.0769,11,0.094,1,0.0085,37,0.3162,8,0.0684,117
JAY_ACSA_HL3,ACSA,JAY,L,HL3,3,trans,H,133,0.6364,9,0.0431,10,0.0478,0,0,47,0.2249,10,0.0478,209
JAY_ACSA_FCL2,ACSA,JAY,L,FCL2,2,trans,L,73,0.3614,21,0.104,17,0.0842,6,0.0297,78,0.3861,9,0.0446,202
JAY_ACSA_FCL1,ACSA,JAY,L,FCL1,1,trans,L,112,0.4014,31,0.1111,24,0.086,7,0.0251,94,0.3369,11,0.0394,279
JAY_ACSA_HL1,ACSA,JAY,L,HL1,1,trans,H,54,0.3462,11,0.0705,14,0.0897,2,0.0128,68,0.4359,7,0.0449,156
JAY_ACSA_SCL2,ACSA,JAY,L,SCL2,2,trans,L,103,0.4459,20,0.0866,21,0.0909,5,0.0216,79,0.342,7,0.0303,231
JAY_ACSA_ML2,ACSA,JAY,L,ML2,2,trans,M,34,0.3091,10,0.0909,14,0.1273,1,0.0091,43,0.3909,8,0.0727,110
