sample_id,spp,mountain,site,treatment,block,experiment,treat,none,non_prop,arbuscules,arb_prop,vesicles,ves_prop,coils,coil_prop,hyphae,hyphae_prop,endo,endo_prop,total
MAN_ACSA_SCL2,ACSA,MAN,L,SCL2,2,trans,L,123,0.4457,18,0.0652,24,0.087,8,0.029,88,0.3188,15,0.0543,276
KIL_ACSA_ML1,ACSA,KIL,L,ML1,1,trans,M,165,0.6298,6,0.0229,15,0.0573,1,0.0038,57,0.2176,18,0.0687,262
KIL_ACSA_FCH2,ACSA,KIL,H,FCH2,2,trans,H,243,0.8967,0,0,4,0.0148,0,0,7,0.0258,17,0.0627,271
KIL_ACSA_MH3,ACSA,KIL,H,MH3,3,trans,M,178,0.6768,5,0.019,14,0.0532,3,0.0114,53,0.2015,10,0.038,263
MAN_ACSA_FCL2,ACSA,MAN,L,FCL2,2,trans,L,79,0.594,6,0.0451,7,0.0526,1,0.0075,33,0.2481,7,0.0526,133
MAN_ACSA_MH3,ACSA,MAN,H,MH3,3,trans,M,113,0.6313,7,0.0391,11,0.0615,4,0.0223,38,0.2123,6,0.0335,179
MAN_ACSA_ML1,ACSA,MAN,L,ML1,1,trans,M,111,0.444,23,0.092,27,0.108,7,0.028,74,0.296,8,0.032,250
MAN_ACSA_SCL1,ACSA,MAN,L,SCL1,1,trans,L,86,0.4095,15,0.0714,24,0.1143,6,0.0286,71,0.3381,8,0.0381,210
JAY_ACSA_MH2,ACSA,JAY,H,MH2,2,trans,M,70,0.5344,9,0.0687,10,0.0763,4,0.0305,34,0.2595,4,0.0305,131
JAY_ACSA_MH1,ACSA,JAY,H,MH1,1,trans,M,142,0.5657,17,0.0677,20,0.0797,7,0.0279,61,0.243,4,0.0159,251
JAY_ACSA_SCH1,ACSA,JAY,H,SCH1,1,trans,H,188,0.7833,4,0.0167,11,0.0458,2,0.0083,25,0.1042,10,0.0417,240
JAY_ACSA_MH3,ACSA,JAY,H,MH3,3,trans,M,149,0.512,16,0.055,19,0.0653,13,0.0447,86,0.2955,8,0.0275,291
